种子关键词：图片,,,,,,,,,,,,,,,,,,
竞争关键词：做法,,,,竞争关键词：句子,,,,竞争关键词：适合,,,,竞争关键词：视频,,,,竞争关键词：价格表,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,22.22%,6,,1,29.63%,8,,1,25.93%,7,,1,7.41%,2,,1,18.52%,5
2,29.63%,8,,2,18.52%,5,,2,22.22%,6,,2,0.00%,0,,2,11.11%,3
3,22.22%,6,,3,33.33%,9,,3,18.52%,5,,3,7.41%,2,,3,14.81%,4
4,7.41%,2,,4,11.11%,3,,4,18.52%,5,,4,22.22%,6,,4,25.93%,7
5,18.52%,5,,5,7.41%,2,,5,14.81%,4,,5,62.96%,17,,5,29.63%,8
有效填写量,,27,,有效填写量,,27,,有效填写量,,27,,有效填写量,,27,,有效填写量,,27
竞争度,,2.7037,,竞争度,,2.4815,,竞争度,,2.7407,,竞争度,,4.3333,,竞争度,,3.3704
,,,,,,,,,,,,,,,,,,
种子关键词：手机,,,,,,,,,,,,,,,,,,
竞争关键词：完整版,,,,竞争关键词：头像,,,,竞争关键词：荣耀,,,,竞争关键词：6s,,,,竞争关键词：下载,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,22.22%,6,,1,11.11%,3,,1,7.41%,2,,1,18.52%,5,,1,3.70%,1
2,18.52%,5,,2,11.11%,3,,2,7.41%,2,,2,11.11%,3,,2,11.11%,3
3,37.04%,10,,3,37.04%,10,,3,18.52%,5,,3,18.52%,5,,3,29.63%,8
4,3.70%,1,,4,22.22%,6,,4,11.11%,3,,4,22.22%,6,,4,18.52%,5
5,18.52%,5,,5,18.52%,5,,5,55.56%,15,,5,29.63%,8,,5,37.04%,10
有效填写量,,27,,有效填写量,,27,,有效填写量,,27,,有效填写量,,27,,有效填写量,,27
竞争度,,2.7778,,竞争度,,3.2593,,竞争度,,4.0000,,竞争度,,3.3333,,竞争度,,3.7407
,,,,,,,,,,,,,,,,,,
种子关键词：小说,,,,,,,,,,,,,,,,,,
竞争关键词：微微一笑,,,,竞争关键词：全文,,,,竞争关键词：火线,,,,竞争关键词：女主角,,,,竞争关键词：2016,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,14.81%,4,,1,3.70%,1,,1,22.22%,6,,1,3.70%,1,,1,18.52%,5
2,18.52%,5,,2,7.41%,2,,2,25.93%,7,,2,3.70%,1,,2,22.22%,6
3,22.22%,6,,3,18.52%,5,,3,25.93%,7,,3,7.41%,2,,3,29.63%,8
4,22.22%,6,,4,25.93%,7,,4,14.81%,4,,4,33.33%,9,,4,18.52%,5
5,22.22%,6,,5,44.44%,12,,5,11.11%,3,,5,51.85%,14,,5,11.11%,3
有效填写量,,27,,有效填写量,,27,,有效填写量,,27,,有效填写量,,27,,有效填写量,,27
竞争度,,3.1852,,竞争度,,4.0000,,竞争度,,2.6667,,竞争度,,4.2593,,竞争度,,2.8148
,,,,,,,,,,,,,,,,,,
种子关键词：视频,,,,,,,,,,,,,,,,,,
